word,part_of_speech,meaning,example,example_meaning,definition,ID
smudge,verb,vết bẩn,"In three thunderous heartbeats, the Ulster Avenger was no more than a black smudge on the linoleum of Rook’s End.","Trong ba nhịp tim đập vang như sấm rền, Ulster Avenger chỉ còn là vết bẩn đen sì trên vải lót sàn của Rook’s End.",A blemish; a smear.,11363
substitute,verb,đổi,A substitute name is used here.,Tên đã được đổi .,A replacement or stand-in for something that achieves a similar result or purpose.,11364
impossibility,noun,impossibleness,Impossible .,Không thể .,Something that is impossible.,11365
sincerity,noun,chân thành,"It takes continual, sincere effort.","Phải cần có nỗ lực liên tục, chân thành .","The quality or state of being sincere; honesty of mind or intention; freedom from simulation, hypocrisy, disguise, or false pretense.",11366
vehicle,noun,xe,"In anticipation of the new ruling , 30,000 new vehicles were registered in the past week , at least three times the normal rate , Xinhua state news agency .","Để đề phòng luật mới , 30.000 xe mới đã đăng ký vào tuần trước , ít nhất là bằng ba lần tỷ lệ bình thường , hãng tin nhà nước Xinhua .","A conveyance; a device for carrying or transporting substances, objects or individuals.",11367
voyage,Verb,chuyến du hành,"A few examples: we're now in the era of ""Fantastic Voyage ,"" the iPill.","Ví dụ: chúng ta đang trong thời đại của "" Chuyến du hành tuyệt vời"", iPill.",A long journey; especially by ship.,11368
brochure,noun,cuốn sách nhỏ,You may also wish to use this brochure to help other people.,Bạn sẽ có thể dùng cuốn sách nhỏ này để giúp đỡ những người khác nữa.,"A booklet of printed informational matter, like a pamphlet, often for promotional purposes.",11369
liquidation,noun,sự thanh toán,It's called the liquid metal battery.,"Nó được gọi là bộ ắc quy "" kim loại lỏng """,The process of converting into cash (or into an asset with high liquidity).,11370
pamphlet,noun,bìa gấp quảng cáo,"He held a successful annual Spacecraft Convention near his farm for about a decade, where he sold his pamphlet , and pay envelopes containing a small amounts of black hair, which he claimed had fallen off the large dog called ""Bo"".","Ông đã tổ chức một Hội nghị Tàu vũ trụ thành công hàng năm gần nông trại của mình trong khoảng một thập kỷ, nơi ông bày bán sách bìa gấp quảng cáo của mình, và trao tặng những phong bì chứa một lượng nhỏ tóc đen, mà ông tuyên bố đã rơi ra khỏi con chó lớn gọi là ""Bo"".","A small booklet of printed informational matter, often unbound, having only a paper cover.",11371
panicky,adjective,yếu bóng vía,Kissinger calls it in his memoir a “ panicky decision ... one concrete result of public pressures.”,"""Trong hồi ký của mình, Kissinger đã gọi đây là một """"quyết định yếu bóng vía ..., một kết quả cụ thể từ sức ép công luận"""".""",In a state of panic.,11372
consequently,adverb,bởi thế,"Consequently , you may prefer to avoid such responsibility and accountability for a time.","Bởi thế , có thể bạn tạm thời muốn tránh gánh vác trách nhiệm đó.",(conjunctive) As a result or consequence of something.,11373
pheasant,noun,gà lôi,"Well, the first pheasant i see is all yours.","Được, con gà lôi đầu tiên anh thấy sẽ hoàn toàn dành cho em.","A bird of family Phasianidae, often hunted for food.",11374
interaction,noun,phản ứng hỗ tương,Pyramid 2000 is an interactive fiction game.,Pyramid 2000 là một trò chơi phiêu lưu tưởng tượng tương tác .,"the act of some things interacting, or acting upon one another.",11375
customary,noun,theo phong tục,Greeting in the customary way,Cách chào hỏi theo phong tục,"A book containing laws and usages, or customs; a custumal",11376
seniority,noun,thâm niên,"Finally, the senior consultant of the local hospital was contacted.","Cuối cùng, người ta liên lạc với một chuyên viên thâm niên của bệnh viện địa phương.","A measure of the amount of time a person has been a member of an organization, as compared to other members, and with an eye towards awarding privileges to those who have been members longer.",11377
interior,adjective,bên trong,The roof is supported by creating a difference between the exterior and interior air pressure.,Mái được hỗ trợ bằng cách tạo chênh lệch áp suất giữa bên trong và bên ngoài.,having to do with the inland parts of a country far from the coasts,11378
pantry,noun,phòng để thức ăn,"With the mother, locked up in the pantry .","ở cùng mẹ nó, bị khóa trong phòng để thức ăn .","A small room, closet, or cabinet usually located in or near the kitchen, dedicated to food storage and/or storing kitchenware. Since the pantry is not typically temperature-controlled (unlike a refrigerator or root cellar), the foods stored in a pantry are usually shelf-stable staples such as grains, flours, and preserved foods.",11379
meritorious,adjective,đáng khen,(Matthew 5:10) Suffering in itself is not meritorious .,(Ma-thi-ơ 5:10) Việc chịu khổ tự nó không có gì là đáng khen .,deserving of merit or commendation; deserving reward,11380
ignominiously,adverb,đáng xấu hổ,Those disloyal to God’s command were ignominiously dismissed.,Còn những kẻ nào bất trung đối với điều răn của Đức Chúa Trời thị bị đuổi một cách nhục nhã .,in an ignominious manner,11381
clarion,noun,kèn,We need the clarion call of the trumpet.,Chúng ta cần tiếng kèn thổi lên.,"(music) A medieval brass instrument, related to the trumpet, or its sound.",11382
crew,noun,bọn,"There's some stuff I didn't tell you, some things that happened to our crew while we were out at sea.","Có những chuyện con chưa nói với mọi người, những chuyện xảy ra với thủy thủ đoàn khi bọn con còn trên biển.","A group of people (often staff) manning and operating a large facility or piece of equipment such as a factory, ship, boat or airplane",11383
misfit,verb,không xứng,I ain't running no dude ranch for misfits and unemployables.,Cha không chấp nhận một người vô dụng và không xứng đáng như vậy.,(now rare) An ill-fitting garment.,11384
mime,verb,MIME,Mime Type Description Suffixes Plugin,Dạng Mime Mô tả Đuôi Bổ sung,A form of acting without words; pantomime,11385
repatriate,verb,cho hồi hương,Newfoundland was then assigned the task of repatriating British Empire prisoners of war.,Newfoundland sau đó được phân nhiệm vụ cho hồi hương tù binh chiến tranh của Đế quốc Anh.,(transitive) To restore (a person) to his or her own country.,11386
allegory,noun,phúng dụ,Thus allegory supplants geography.,Như vậy những chi tiết về địa lý được thay thế bằng nghĩa phúng dụ .,The representation of abstract principles by characters or figures.,11387
vegetation,noun,cây cỏ,"Similarly, for the growth of vegetation , there must be sufficient light.","Cũng thế, để các loài cây cỏ sinh sôi phát triển, cần có đủ ánh sáng.",Plants collectively.,11388
boondoggle,verb,việc làm vô ích,"We met in Vancouver, at the airport, on a trip that we were both taking to China, that I would actually, from my background, I would call it a boondoggle .","Chúng tôi gặp nhau ở Vancouver, tại sân bay, khi chúng tôi cùng đi đến Trung Quốc, điều mà từ kinh nghiệm của tôi, tôi sẽ gọi là một việc làm vô ích .","A braided ring to hold a neckerchief, particularly in scouting; a woggle.",11389
sectarian,adjective,biệt phái,How should sectarianism be viewed?,Chúng ta phải xem tinh thần bè đảng như thế nào?,"Of, or relating to a sect.",11390
senescent,adjective,già yếu,"There's a phenomenon which you have written about and spoken about, which is a negligible senescence .",Có một hiện tượng mà cô đã từng viết về vá nói rất nhiều về chúng đó là nhưng sự lão hoá không đáng kể.,Growing old; decaying with the lapse of time.,11391
modular,adjective,mô-đun,This modularization makes design and evaluation easier.,Việc phân mô- đun này làm cho nhiệm vụ thiết kế và đánh giá dễ dàng hơn.,(chiefly mathematics) Of or relating to a module or modules.,11392
stallion,noun,ngựa đực,"By 1950, there were only about 600 mares and 50 stallions left in the breed.","Đến năm 1950, chỉ có khoảng 600 con ngựa cái và 50 con ngựa đực còn lại trong giống.",An uncastrated male horse,11393
whirlwind,noun,gió lốc,Don’t let the whirlwinds drag you down.,Đừng để cho các cơn gió lốc lôi kéo các em xuống.,"A violent windstorm of limited extent, as the tornado, characterized by an inward spiral motion of the air with an upward current in the center; a vortex of air. It usually has a rapid progressive motion.",11394
headstone,noun,mộ chí,"Just last month, Soraya and I had placed a bouquet of daisies and freesias beside his headstone .","Mới tháng vừa rồi, Soraya và tôi còn đặt một bó cúc trắng và hoa lan cạnh mộ chí của ông.","A gravestone, a grave marker: a monument traditionally made of stone placed at the head of a grave.",11395
scenic,adjective,cảnh quan,"""Columbia River Gorge National Scenic Area"".",Truy cập ngày 9 tháng 3 năm 2008. ^ “Columbia River Gorge National Scenic Area”.,having beautiful scenery; picturesque,11396
overlook,verb,không chú ý tới,The simplicity of this ordinance may cause us to overlook its significance.,Vẻ giản dị của giáo lễ này có thể làm cho chúng ta không chú ý tới ý nghĩa của nó.,"To look down upon from a place that is over or above; to look over or view from a higher position; to rise above, so as to command a view of",11397
